                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 2.0938,                 2.2162,                 2.2787,                0.22418,                0.41667,                 0.2719,                0.12024,                 2.4853,                  2.163,                 2.4464,              0.0014838,              0.0014838,              0.0014838
                    114,                 2.0519,                 2.1441,                 2.2694,                0.31151,                0.22222,                0.27039,                0.11537,                 2.4904,                  2.484,                 2.5299,              0.0014822,              0.0014822,              0.0014822
                    115,                 2.0404,                 2.1685,                 2.3073,                 0.2292,                0.21199,                0.21673,                0.10344,                 2.2528,                 2.8848,                 2.3932,              0.0014805,              0.0014805,              0.0014805
                    116,                 1.9782,                 2.0571,                 2.2019,                0.24191,                0.19444,                0.19025,                0.07048,                 2.5838,                 2.9453,                 2.6073,              0.0014789,              0.0014789,              0.0014789
                    117,                 2.0447,                 2.3143,                 2.3198,                0.91882,                0.19444,                0.24404,                0.08532,                 2.7173,                 2.9123,                 2.7491,              0.0014772,              0.0014772,              0.0014772
                    118,                    2.1,                 2.2639,                 2.3338,                0.28316,                0.19444,                0.19831,                0.08459,                 2.9369,                 2.9857,                 2.9492,              0.0014756,              0.0014756,              0.0014756
                    119,                 2.0804,                 2.2361,                  2.316,                0.24656,                0.11111,                0.12113,                0.05774,                 2.6551,                 4.0305,                 2.7862,              0.0014739,              0.0014739,              0.0014739
                    120,                 2.0575,                 2.1928,                 2.3111,                0.46145,                0.19444,                0.24632,                0.11428,                 2.2003,                 2.5182,                 2.3249,              0.0014723,              0.0014723,              0.0014723
                    121,                 2.0537,                 2.2627,                 2.2738,                0.46867,                0.27778,                0.31426,                0.11694,                 2.2871,                  2.214,                 2.3642,              0.0014706,              0.0014706,              0.0014706
                    122,                 2.0701,                 2.1583,                 2.3048,                 0.4158,                0.21506,                0.22841,                0.07417,                 2.5916,                 2.8003,                 2.6453,               0.001469,               0.001469,               0.001469
                    123,                 1.9975,                 2.2643,                 2.2186,                0.36056,                0.30556,                0.23807,                0.10379,                 2.4075,                 2.8852,                 2.5828,              0.0014673,              0.0014673,              0.0014673
                    124,                 2.0353,                 2.2942,                   2.28,                0.43178,                0.19444,                0.20176,                0.07957,                 2.4726,                  2.579,                 2.5891,              0.0014657,              0.0014657,              0.0014657
                    125,                 2.0022,                 2.1553,                 2.1945,                0.31385,                0.33333,                0.27661,                0.11378,                  2.588,                 2.3322,                 2.5238,               0.001464,               0.001464,               0.001464
                    126,                 1.9923,                 2.1899,                 2.2235,                0.33303,                0.25393,                0.30886,                0.15209,                 2.4779,                 2.4094,                  2.456,              0.0014624,              0.0014624,              0.0014624
